アイサ 秋沙
ガモ 鴨
キンクロ 金黒
ハジロ 羽白
ガン 雁
ハクチョウ 白鳥
クジャク 孔雀
カラヤマドリ 唐山鳥
ドリ 鳥
ガネ 金
クイ 喰
オシ 鴛
シマアジ 縞味
キジ 雉
ミミキジ 耳雉
ジュケイ 綬鶏
セッケイ 雪鶏
ギンケイ 銀鶏
キンケイ 金鶏
ミヤマテッケイ 深山竹鶏
サンケイ 山鶏
ライチョウ 雷鳥
シャコ 鷓鴣
ハッカン 白鷴
ウズラ 鶉
ケイ 鶏
アビ 阿比
オオハム 大波武
アホウドリ 阿呆鳥
ウミツバメ 海燕
ミズナギドリ 水薙鳥
カモメ 鷗
カイツブリ 鳰
フラミンゴ Flamingo
ネッタイチョウ 熱帯鳥
コウ 鸛
コウノトリ 鸛の鳥
ペリカン Pelican
サギ 鷺
ゴイ 五位
トキ 朱鷺
グンカンドリ 軍艦鳥
ヘビウ 蛇鵜
カツオドリ 鰹鳥
ウ 鵜 鸬鹚
ウガラス 鵜鴉
ミサゴ 鶚
ワシ 鷲
タカ 鷹
ダカ 鷹
サシバ 差羽
ハチクマ 蜂熊
ツミ 雀鷹
ノスリ 野擦
チュウヒ 沢鵟
トビ 鳶
カッコウハヤブサ 郭公隼
ノガン 野雁
セイケイ 青鶏
クイナ 水鶏
バン 鷭
ヅル 鶴
タンチョウ 丹頂
ミフウズラ 三斑鶉
キリアイ 錐合
トウネン 当年
シギ 鷸
レンカク 蓮鶴
ガラス 鴉
カラス 鴉
ウミスズメ 海雀
ウトウ 善知鳥
ツバメチドリ 燕千鳥
イシチドリ 石千鳥
ミヤコドリ 都鳥
トウゾクカモメ 盗賊鷗
ネコ 猫
アジサシ 鯵刺
チドリ 千鳥
ムナグロ 胸黒
ダイゼン 大膳
ゲリ 鳧
ケリ 鳧
サケイ 沙鶏
バト 鳩
バンケンモドキ 蕃鵑擬
カッコウ 郭公
ホトトギス 鵑
ジュウイチ 十一
ツツドリ 筒鳥
バンケン 蕃鵑
フクロウ 梟
ズク 木兎
ヨタカ 夜鷹
アマツバメ 雨燕
アナツバメ 穴燕
バネドリ 羽鳥
ブッポウソウ 仏法僧
ショウビン 翡翠
ヤマセミ 山翡翠
カワセミ 翡翠
ハチクイ 蜂喰
ヤツガシラ 八頭
サイチョウ 犀鳥
ミツオシエ 蜜教
キタタキ 木叩
キツツキ 啄木鳥
ゲラ 啄木鳥
ゴシキドリ 五色鳥
チョウゲンボウ 長元坊
ハヤブサ 隼
サトウチョウ 砂糖鳥
インコ 鸚哥
ゴジュウカラ 五十雀
チメドリ 知目鳥
ヒタキ 鶲
ビタキ 鶲
モズ 百舌
ヤイロチョウ 八色鳥
オウチュウ 烏秋
コノハドリ 木葉鳥
ハナドリ 花鳥
マドリ 縞鳥
ヤブドリ 藪鳥
タケドリ 竹鳥
ガビチョウ 画眉鳥
タイカンチョウ 戴冠鳥
ハクオウチョウ 白翁鳥
ソウシチョウ 相思鳥
レンジャク 連雀
タイヨウチョウ 太陽鳥
クモカリドリ 蜘蛛狩鳥
ガラ 雀
カラ 雀
ヤマヒバリ 山雲雀
イワヒバリ 岩雲雀
セッカ 雪下
キクイタダキ 菊戴
サイホウチョウ 裁縫鳥
ハウチワドリ 羽団扇鳥
ツリスガラ 吊巣雀
ヒゲガラ 髭雀
カベバシリ 壁走
キバシリ 木走
バライロマシコ 薔薇色猿子
ムシクイ 虫喰
チフチャフ Chiffchaff
コビトサザイ 小人鷦鷯
ウグイス 鶯
ヤブサメ 藪雨
キンパラ 金腹
セイコウチョウ 青紅鳥
ベニスズメ 紅雀
カラスモドキ 烏擬
ムクドリ 椋鳥
ハッカチョウ 八哥鳥
キュウカンチョウ 九官鳥
ハッカ 八哥
カワガラス 河烏
ツバメ 燕
イスカ 交喙
マシコ 猿子
ウソ 鷽
シメ 鴲
アトリ 花鶏
イカル 鵤
ヒワ 鶸
セリン 世鈴
モリツバメ 森燕
サンコウチョウ 三光鳥
コウテンシ 告天子
ヒバリ 雲雀
コウヨウジャク 紅葉雀
メジロ 目白
ヨシキリ 葦切
センニュウ 仙入
サンショウクイ 山椒食
ホオジロ 頬白
エナガ 柄長
ヤマガラモドキ 山雀擬
ヒロハシ 広嘴
スズメ 雀
ミソサザイ 鷦鷯
サザイチメドリ 鷦鷯知目鳥
カケス 懸巣
オナガ 尾長
サンジャク 山鵲
カササギ 鵲
ヤマムスメ 山娘
ヘキサン 碧鵲
ジナイ 鶇
クロウタドリ 黒歌鳥
シロハラ 白腹
アカハラ 赤腹
マミジロ 眉白
ツグミ 鶫
チャキンチョウ 茶金鳥
ホオアカ 頬赤
ノジコ 野路子
アオジ 青鵐
クロジ 黒鵐
カシラダカ 頭高
ホオジロ 頬白
ジュリン 寿林
ヒヨドリ 鵯
ガシラ 頭
カヤノボリ 萱昇
コウラウン 紅羅雲
マルハシ 丸嘴
ルリ 瑠璃
ムギマキ 麦播
アカヒゲ 赤髭
ゴマ 駒
コマドリ 駒鳥
ナキドリ 啼鳥
イソヒヨドリ 磯鵯
イソヒヨ 磯
シキチョウ 四季鳥
ルリチョウ 瑠璃鳥
タヒバリ 田雲雀
ビンズイ 便追
セキレイ 鶺鴒
ライウグイス 高麗鶯
ヒゴロモ 緋衣
アナドリ 穴鳥
ウミガラス 海鴉
アリスイ 蟻吸
シジュウカラ 四十雀
トド 鵐
